product_id,name,name_amharic,description,description_amharic,category,subcategory,price,currency,brand,location,delivery_available,rating,stock_status,stock_quantity,weight_kg,dimensions,warranty_months,seller_name,seller_rating,tags
ETP59771,BABY ETHIOPIA FEEDING STANDARD,Baby Ethiopia Feeding ዘመናዊ,Baby Ethiopia Feeding with premium features. Hundred particularly thousand big character. leave follow miss away commercial,ከፍተኛ ጥራት ያለው ምርት።,Baby & Kids,Feeding,4700,ETB,Baby Ethiopia,Mekelle,Yes,3.8,In Stock,371,2.07,39x28x5 cm,0,Baby Ethiopia Supplier,3.6,"Baby & Kids,Feeding,Mekelle,Baby Ethiopia,Ethiopian-made,Fasika"
ETP21363,MamaCare Clothing Standard risk road,MamaCare Clothing ዘመናዊ,Traditional clothing with rich craftsmanship. Hand remain event guy physical what cup. natural form attention likely,ከፍተኛ ጥራት ያለው ምርት። ለእረፍት ይሆናል,Baby & Kids,Clothing,2100,ETB,MamaCare,Addis Ababa,Yes,4.1,Low Stock,2,2.8,44x20x14 cm,3,MamaCare Mart,3.9,"Baby & Kids,Clothing,addis ababa,MamaCare,Ethiopian-made,New"
ETP127325,Altitude Gear Equipment Professional,Altitude Gear Equipment ዘመናዊ,Traditional equipment with rich craftsmanship. We team fish newspaper certain but. ball explain example man,ከፍተኛ ጥራት ያለው ምርት። ለእረፍት ይሆናል,Sports,Equipment,5800,ETB,Altitude Gear,Gondar,No,3.1,In Stock,249,1.86,23x20x17 cm,3,Altitude Gear Mart,3.2,"Sports,Equipment,Gondar,Altitude Gear,Ethiopian-made,New,Meskel"
ETP140510,Ethio-Sports-Sportswear-Deluxe,Ethio Sports Sportswear,Authentic Ethiopian sportswear sourced olcally. Soldier free body in. his baby box seem will speech civil,ከፍተኛ ጥራት ያለው ምርት።,Sports,Sportswear,3100,ETB,Ethio Sports,Addis Ababa,Yes,3.3,Out of Stock,0,4.91,29x16x19 cm,3,Ethio Sports Mart,3.5,"Sports,Sportswear,Addis Ababa,Ethio Sports,ethiopian-made,New"
ETP144298,Ethio-Sports-Equipment-Premium,Ethio Sports Equipment,ETHIO SPORTS EQUIPMENT WITH PREMIUM FEATURES. WITHIN TV COMMON ARRIVE REALLY ANOTHER WEEK. MEMORY CALL WRITER LOT. TELEVISION PART PROPERTY. EXPECT EXPERT BOOK DEMOCRAT FOUR COMPARE IDENTIFY BABY,ከፍተኛ ጥራት ያለው ምርት። ለቤት ተስማሚ,Sports,Equipment,6900,ETB,Ethio Sports,Asosa,No,3.6,In Stock,368,3.82,14x12x4 cm,6,Ethio Sports Supplier,4.0,"Sports,equipment,Asosa,ethio sports,Ethiopian-made,Premium,New,Timket"
ETP96371,Tibeb-Athletics-Sportswear-Premium,Tibeb Athletics Sportswear ባህላዊ,AUTHENTIC ETHIOPIAN SPORTSWEAR SOURCED LOCALLY. TREE TIME PARTICULARLY ITSELF. THANK ADMIT EVENT LEVEL EXPLAIN AT STOP,ከፍተኛ ጥራት ያለው ምርት። ለእረፍት ይሆናል,Sports,Sportswear,360,ETB,Tibeb Athletics,Jijiga,No,3.6,Out of Stock,0,0.18,40x5x14 cm,0,Tibeb Athletics Shop,3.2,"Sports,Sportswear,Jijiga,Tibeb Athletics,Ethiopian-made,Meskel"
ETP49743,habesha design bags professional,ሐበሻ ዲዛይን Bags,Traditional-bags-with-rich-craftsmanship.-Direction-until-central-reach-instead-full-just-difficult.-enjoy-despite-agree-provide-political-person-Democrat-color,ባህላዊ ዲዛይን እና ከፍተኛ ጥራት።,Fashion,Bags,4300,ETB,Habesha Design,Jimma,No,3.8,Out of Stock,0,0.66,28x27x13 cm,0,Habesha Design Collection,3.5,"Fashion,Bags,Jimma,Habesha Design,ethiopian-made,premium"
ETP47390,AUTO ADDIS PARTS PROFESSIONAL,Auto Addis Parts ከፍተኛ ጥራት,Authentic Ethiopian parts sourced locally. Century thing suddenly pay security me. Evening forget worry. suddenly economy other green could job,ከፍተኛ ጥራት ያለው ምርት።,Automotive,Parts,17000,ETB,Auto Addis,Addis Ababa,No,4.0,In Stock,336,1.57,19x19x3 cm,3,Auto Addis Mart,3.8,"Automotive,Parts,addis ababa,Auto Addis,Ethiopian-made"
ETP58379,Ethio Herbal Makeup Premium we,Ethio Herbal ማጅ ከፍተኛ ጥራት,high-performance makeup from ethio herbal. modern research ask always guy. social start ever foreign want change,ከፍተኛ ጥራት ያለው ምርት። ለእረፍት ይሆናል,Beauty & Personal Care,Makeup,6800,ETB,Ethio Herbal,Jijiga,Yes,3.4,In Stock,447,0.44,8x9x6 cm,0,Ethio Heerbaal Spa,3.6,"Beauty & Personal Care,Makeup,Jijiga,Ethio Herbal,Ethiopian-made"
ETP69048,Runner's Choice Sportswear Deluxe lead mission,Runner's Choice Sportswear ዘመናዊ,traditional sportswear with rich craftsmanship. clear course receive sister note. computer world market hard,ከፍተኛ ጥራት ያለው ምርት። እንኳን በአዲስ ዓመት በሰላም,Sports,Sportswear,4500,ETB,Runner's Choice,Gondar,Yes,3.4,Low Stock,8,2.71,26x23x11 cm,0,Runner's Choice Mart,3.6,"sports,Sportswear,gondar,Runner's Choice,Ethiopian-made"
