product_id,name,name_amharic,description,description_amharic,category,subcategory,price,currency,brand,manufacturer,city,area,delivery_available,delivery_time_days,rating,review_count,stock_status,stock_quantity,weight_kg,dimensions,warranty_months,date_added,last_updated,seller_name,seller_rating,tags
ETP06253,ባህላዊ መጽሐፍ ዩኒቭርሳል,,"Textbooks. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Hawassa, Lake Side. Perfect for dry season. ",,Books,Educational,3200,ETB,EPHI Press,Made in Addis Ababa,Hawassa,Lake Side,No,0,4.0,165,Out of Stock,0,23.55,39x87x45 cm,3,2024-12-04,2025-12-12,Hawassa Store,3.7,"Books,Educational,Hawassa,Ethiopian-made"
ETP04685,Ethiopian Spices Pro,,"Mitmita spice. Made in Ethiopia with high quality materials. Suitable for office use. Available in Addis Ababa, Bole. ",,Food & Beverages,Spices,4400,ETB,Sheba Honey,Made in Ethiopia,Addis Ababa,Bole,No,0,3.6,112,Out of Stock,0,24.5,43x81x8 cm,3,2024-03-13,2025-12-07,Addis Ababa Mart,3.1,"Food & Beverages,Spices,Addis Ababa,Ethiopian-made"
ETP01732,ኢትዮጵያ ጠረጴዛ ስፔሻል,,"Traditional cosmetics. Made in Ethiopia with high quality materials. Suitable for office use. Available in Gondar, Royal City. ",,Health & Beauty,Cosmetics,350,ETB,Sheba Cosmetics,Made in Addis Ababa,Gondar,Royal City,No,0,3.3,4,Out of Stock,0,47.01,22x71x38 cm,6,2024-08-31,2025-12-03,Gondar Mart,4.4,"Health & Beauty,Cosmetics,Gondar,Ethiopian-made"
ETP04743,ማርያም ማሽን ኤስ,ስማርት ቡና,"Traditional furniture. Made in Ethiopia with high quality materials. Suitable for commercial use. Available in Addis Ababa, Bole. Perfect for rainy season. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ furniture,Home & Kitchen,Furniture,1000,ETB,Lucy Kitchenware,Made in Dire Dawa,Addis Ababa,Bole,No,0,3.2,95,In Stock,93,14.08,42x57x27 cm,6,2025-04-18,2025-11-27,Addis Ababa Mart,5.0,"Home & Kitchen,Furniture,Addis Ababa,Ethiopian-made"
ETP04522,ባህላዊ ቲቪ ስፔሻል,ብርሃን ሻይ,"Outdoor games. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Addis Ababa, Bole. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ outdoor,Sports,Outdoor,13300,ETB,Abebe Bikila Sports,Made in Ethiopia,Addis Ababa,Bole,Yes,4,4.5,132,In Stock,301,20.01,70x70x41 cm,12,2024-10-13,2025-11-26,Addis Ababa Trading,4.2,"Sports,Outdoor,Addis Ababa,Ethiopian-made"
ETP06341,Ethiopian Medicines Pro,,"Over-the-counter medicines. Made in Ethiopia with high quality materials. Suitable for home use. Available in Hawassa, Lake Side. Perfect for rainy season. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ medicines,Health & Beauty,Medicines,3000,ETB,Lucy Beauty,Made in Dire Dawa,Hawassa,Lake Side,No,0,5.0,10,Low Stock,124,22.48,85x76x21 cm,3,2024-06-07,2025-12-13,Hawassa Store,5.0,"Health & Beauty,Medicines,Hawassa,Imported"
ETP00577,ብርሃን ሻይ ሊት,,"Skin care products. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Addis Ababa, Merkato. Perfect for holiday season. ",,Health & Beauty,Cosmetics,1100,ETB,Ethio Pharma,Made in Bahir Dar,Addis Ababa,Merkato,No,0,4.1,483,In Stock,596,23.21,40x11x46 cm,6,2024-04-03,2025-12-12,Addis Ababa Trading,4.4,"Health & Beauty,Cosmetics,Addis Ababa,Ethiopian-made"
ETP05203,ስማርት ቡና ዩኒቭርሳል,,"Story books. Made in Ethiopia with high quality materials. Suitable for home use. Available in Jimma, Main Market. ",,Books,Children,1300,ETB,Addis Ababa University Press,Made in Addis Ababa,Jimma,Main Market,No,0,5.0,321,In Stock,43,17.92,25x37x33 cm,6,2024-04-09,2025-11-25,Jimma Shop,3.3,"Books,Children,Jimma,Ethiopian-made"
ETP06364,ማርያም ቡና ሊት,,"Food storage containers. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Dire Dawa, Kezira. Perfect for Ethiopian New Year. ",,Home & Kitchen,Storage,2000,ETB,Jebena Co,Made in Dire Dawa,Dire Dawa,Kezira,Yes,3,4.2,7,In Stock,320,33.38,18x87x8 cm,12,2024-07-16,2025-12-01,Dire Dawa Trading,4.7,"Home & Kitchen,Storage,Dire Dawa,Imported"
ETP00440,Ethiopian Running Premium,ከፍተኛ ማሽን,"Running shoes. Made in Ethiopia with high quality materials. Suitable for home use. Available in Addis Ababa, Piassa. Perfect for dry season. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ running,Sports,Running,1800,ETB,Adidas Ethiopia,Made in Bahir Dar,Addis Ababa,Piassa,No,0,4.4,300,Out of Stock,0,28.6,95x28x9 cm,24,2025-01-08,2025-12-08,Addis Ababa Store,3.2,"Sports,Running,Addis Ababa,Imported"
ETP02751,Ethiopian Chargers Standard,ኢትዮጵያ ካሜራ,"Wireless chargers. Made in Ethiopia with high quality materials. Suitable for office use. Available in Addis Ababa, Piassa. Perfect for Ethiopian New Year. ",,Electronics,Chargers,5400,ETB,Hisense Ethiopia,Made in Dire Dawa,Addis Ababa,Piassa,Yes,3,4.2,210,In Stock,747,46.01,37x31x24 cm,0,2024-01-07,2025-11-22,Addis Ababa Enterprises,4.4,"Electronics,Chargers,Addis Ababa,Imported"
ETP07488,ሃይለ ካሜራ ፕሮ,,"Fast chargers. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Harar, Old City. ",,Electronics,Chargers,16900,ETB,TECNO Mobile,Made in Bahir Dar,Harar,Old City,No,0,4.8,251,Low Stock,293,43.84,54x40x47 cm,3,2025-02-20,2025-12-06,Harar Enterprises,4.5,"Electronics,Chargers,Harar,Ethiopian-made"
ETP05273,Ethiopian Outdoor Standard,,"Camping gear. Made in Ethiopia with high quality materials. Suitable for office use. Available in Mekelle, Downtown. ",,Sports,Outdoor,1500,ETB,Nike Ethiopia,Made in Dire Dawa,Mekelle,Downtown,Yes,5,4.6,107,In Stock,340,47.21,39x41x28 cm,24,2024-01-01,2025-12-13,Mekelle Mart,3.5,"Sports,Outdoor,Mekelle,Ethiopian-made"
